award_id,recipient_name,awarding_agency_name,award_amount,action_date,award_description,source_file,contract_start_date,contract_end_date,contract_duration_days,duration_category,theme_racial_equity,theme_gender_equality,theme_disability_access,theme_lgbtq+_inclusion,theme_veterans,theme_economic_equity,type_training,type_policy,type_research,type_infrastructure,type_services,type_community,org_university,org_research,org_government,org_nonprofit,org_healthcare,org_private,award_size_category,number_of_themes,number_of_types
MSA-24-10036-TEAM CONSULT-01,FOUNDATION FOR DEVELOPMENT MANAGEMENT PVT LTD,Agency for International Development (USAID),"$71,330.46 ",10/7/2024,"THE PRIMARY PURPOSE OF THE USAID LOCALIZATION SUPPORT CONTRACT IS TO PROVIDE USAID/NEPAL AND NEPALI IMPLEMENTING PARTNERS WITH TECHNICAL, LOGISTICAL, AND ADVISORY SERVICES TO SUPPORT THE MISSIONÃ‚  S INCREASING LOCALIZATION PROGRAMMING. ENCOMPASS AND PARTNERS MERCY CORPS, FOUNDATION FOR DEVELOPMENT MANAGEMENT, TEAM CONSULT, AND OPEN DEVELOPMENT WILL COLLECTIVELY SUPPORT USAID/NEPAL IN DRAMATICALLY EXPANDING ITS LOCALIZATION PROGRAMMING BY STRENGTHENING THE CAPACITY OF LOCAL ORGANIZATIONS TO RECEIVE DIRECT USAID FUNDING; DEVELOP AND DELIVER EMPOWERING LEARNING EXPERIENCES; GROW DIVERSITY, EQUITY, INCLUSION, AND ACCESSIBILITY AND GENDER EQUALITY AND SOCIAL INCLUSION PRACTICES; SUPPORT THE MISSION TO IMPROVE LOCALIZATION PROGRAMMING; AND PROVIDE EXPERTISE IN PUBLIC FINANCIAL MANAGEMENT, RISK ASSESSMENT, AND TO INCREASE GOVERNMENT-TO-GOVERNMENT PROGRAMMING.",contracts_sub,9/12/2024,10/7/2024,25,Short Term (< 3 months),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,Small ($10K - $100K),1,2
S-24-10036-OPENDEVELOPMENT-01,S&S OPEN DEV LLC,Agency for International Development (USAID),"$77,914.00 ",7/24/2024,"THE PRIMARY PURPOSE OF THE USAID LOCALIZATION SUPPORT CONTRACT IS TO PROVIDE USAID/NEPAL AND NEPALI IMPLEMENTING PARTNERS WITH TECHNICAL, LOGISTICAL, AND ADVISORY SERVICES TO SUPPORT THE MISSIONÃ‚  S INCREASING LOCALIZATION PROGRAMMING. ENCOMPASS AND PARTNERS MERCY CORPS, FOUNDATION FOR DEVELOPMENT MANAGEMENT, TEAM CONSULT, AND OPEN DEVELOPMENT WILL COLLECTIVELY SUPPORT USAID/NEPAL IN DRAMATICALLY EXPANDING ITS LOCALIZATION PROGRAMMING BY STRENGTHENING THE CAPACITY OF LOCAL ORGANIZATIONS TO RECEIVE DIRECT USAID FUNDING; DEVELOP AND DELIVER EMPOWERING LEARNING EXPERIENCES; GROW DIVERSITY, EQUITY, INCLUSION, AND ACCESSIBILITY AND GENDER EQUALITY AND SOCIAL INCLUSION PRACTICES; SUPPORT THE MISSION TO IMPROVE LOCALIZATION PROGRAMMING; AND PROVIDE EXPERTISE IN PUBLIC FINANCIAL MANAGEMENT, RISK ASSESSMENT, AND TO INCREASE GOVERNMENT-TO-GOVERNMENT PROGRAMMING.",contracts_sub,7/24/2024,7/24/2024,0,Single Action,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Small ($10K - $100K),1,2
23-SUB-001,BLAKQUITY LLC,Agency for International Development (USAID),"$82,200.00 ",4/10/2023,GH/MCHN: RACIAL EQUITY AND DIVERSITY SUPPORT,contracts_sub,4/10/2023,4/10/2023,0,Single Action,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Small ($10K - $100K),1,1
P52819-4,NATIONAL CENTER FOR WOMEN & INFORMATION TECHNOLOGY,Department of Defense (DOD),"$100,650.00 ",7/31/2023,"DIVERSITY, EQUITY, AND INCLUSION ANALYSIS AND RECRUITMENT FOR DARPA",contracts_sub,7/31/2023,7/31/2023,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium ($100K - $1M),0,1
P52819-6,NATIONAL CENTER FOR WOMEN AND INFORMATION TECHNOLOGY,Department of Defense (DOD),"$100,650.00 ",5/30/2024,"ASSISTANCE OF IMPLEMENTATION STRATEGY RELATED TO THE PREVIOUSLY DEVELOPED REPORT  DIVERSITY, EQUITY, & INCLUSION ASSESSMENT OF DARPA S RECRUITMENT AND HIRING PRACTICES  FOR SIX DARPA OFFICES.",contracts_sub,5/30/2024,5/30/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium ($100K - $1M),0,2
72027820C00005-EY,ERNST & YOUNG LLP,Agency for International Development (USAID),"$884,623.00 ",1/16/2024,"MELA FACILITATED A MISSION-WIDE CLA SELF-ASSESSMENT EVENT WITH TECHNICAL AND SUPPORT OFFICES
 IDENTIFYING, REFLECTING, AND PRIORITIZING ACTION ITEMS IN RELEVANT CLA FRAMEWORK COMPONENTS. BUILDING ON
 THE RESULTS FROM THE CLA SELF-ASSESSMENT, A TAILORED MISSION OF LEADERS (MOL) APPROACH WILL BE
 IMPLEMENTED TO EMPOWER USAID/JORDAN STAFF AND PARTNER STAKEHOLDERS FROM EVERY HIRING CATEGORY TO LEAD,
 BUILD RELATIONSHIPS, WORK COLLABORATIVELY, LEARN FROM ONE ANOTHER, MANAGE DEVELOPMENT PROCESSES, AND
 INCORPORATE AND PROMOTE DIVERSITY, EQUITY, INCLUSION AND ACCESSIBILITY (DEIA) ACROSS MISSION OPERATIONS.
 IN THE PROCESS OF IMPLEMENTING THE MOL INITIATIVE, MELA WILL FACILITATE THREE MISSION-WIDE STAFF RETREATS
 COMPRISING Ã‚  ORGANIZATIONAL DEVELOPMENT WORKSHOP WEEK;Ã‚   THESE RETREATS WILL BE 5 DAYS LONG AND WILL BE
 HELD EVERY SIX MONTHS. THE FIRST RETREAT WILL BE HELD FROM JANUARY 21 TO 25, 2024 FOR ALL USAID/JORDAN
 STAFF. THESE MISSION-WIDE STAFF RETREATS WILL DEFINE AND REINFORCE WHAT LEADERSHIP BEHAVIORS USAID/JORDAN
 SHOULD EXHIBIT AND HOW TO PUT A CULTURE OF CLA INTO PRACTICE IN THE JORDAN CONTEXT. THESE RETREATS WILL USE
 A METHOD OF CULTURE DESIGN TO HELP USAID/JORDAN DETERMINE KEY ATTRIBUTES IT NEEDS TO DIAL UP AND DOWN,
 THE CORE BEHAVIORS WHICH MUST START, STOP, OR BE NURTURED, AND THE BENEFITS OF DEVELOPING A CULTURE NARRATIVE
 AND A FRAMEWORK FOR IMPLEMENTATION. MELA WILL HELP FACILITATE ACTION PLANNING AT TEAM AND INDIVIDUAL
 LEVELS THAT SUPPORT PROGRESS TOWARDS A DESIRED FUTURE STATE, HELPING PARTICIPANTS TO IDENTIFY OPERATING MODELS
 AND ENVIRONMENT LEVERS FOR CHANGE. THE FOCUS OF VALUES, CULTURE, AND BEHAVIOR DURING THESE RETREATS SHOULD
 BE FRAMED IN LEADERSHIP AND CHANGE MANAGEMENT APPROACHES THAT ENABLES BETTER CLA APPROACHES TO
 IMPLEMENTING USAID/JORDANÃ‚  S CDCS.",contracts_sub,1/16/2024,1/16/2024,0,Single Action,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium ($100K - $1M),1,5
24-058,DONNA LENHOFF ASSOCIATES,Department of Labor (DOL),"$62,425.00 ",7/8/2024,"DONNA LENHOFF ASSOCIATES WILL SERVE AS AN EQUAL EMPLOYMENT OPPORTUNITY (EEO) SUBJECT MATTEREXPERT (SME), CREATING ONLINE TRAINING RESOURCES AND DEVELOPING AND DELIVERING WORKSHOPS ON ISSUES OF EEO, AFFIRMATIVE ACTION, AND DIVERSITY, EQUITY, AND INCLUSION (DEI), AS WELL AS PROVIDING CUSTOMIZED SUPPORT TO SPONSORS AND OTHER RA STAKEHOLDERS BASED ON THE OPTION YEAR 3 CONTRACT DELIVERABLES, IN ORDER TO CONTRIBUTE TO JFF MEETING THE OBJECTIVE OF INCREASING THE PROPORTION OF UNDERREPRESENTED POPULATIONS IN THESE PROGRAMS IN THE ADVANCED MANUFACTURING AND AGRICULTURE INDUSTRY SECTOR.",contracts_sub,12/14/2023,7/8/2024,207,Medium Term (3-12 months),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Small ($10K - $100K),0,2
1170772,"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO, INC.",Department of Health and Human Services (HHS),"$858,000.00 ",9/20/2024,"THE NIH ALL OF US RESEARCH PROGRAM (AOURP) AIMS TO PROMOTE DIVERSITY BY ENSURING INCLUSIVE ENROLLMENT FROM HISTORICALLY UNDERREPRESENTED GROUPS IN BIOMEDICAL RESEARCH. IT FOCUSES ON COLLECTING DATA FROM THESE COMMUNITIES THROUGH PARTNERSHIPS WITH FEDERALLY QUALIFIED HEALTH CENTERS (FQHCS), WHICH HAVE ENROLLED OVER 14,000 PARTICIPANTS FROM UNDERSERVED POPULATIONS. FQHCS HAVE INCREASED THEIR CAPACITY TO SUPPORT THE PROGRAM BY COLLABORATING AND APPLYING LESSONS LEARNED TO ENHANCE PROCESSES UNDER MITREÃ‚  S CENTRAL COORDINATION.",contracts_sub,9/20/2024,9/20/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium ($100K - $1M),0,3
P52819-7,NATIONAL CENTER FOR WOMEN AND INFORMATION TECHNOLOGY,Department of Defense (DOD),"$100,650.00 ",11/20/2024,"ASSISTANCE OF IMPLEMENTATION STRATEGY RELATED TO THE PREVIOUSLY DEVELOPED REPORT  DIVERSITY, EQUITY, & INCLUSION ASSESSMENT OF DARPA S RECRUITMENT AND HIRING PRACTICES  FOR SIX DARPA OFFICES.",contracts_sub,11/20/2024,11/20/2024,0,Single Action,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Medium ($100K - $1M),0,2
S-24-10036-MERCYCORPS-01,MERCY CORPS,Agency for International Development (USAID),"$324,382.00 ",7/24/2024,"THE PRIMARY PURPOSE OF THE USAID LOCALIZATION SUPPORT CONTRACT IS TO PROVIDE USAID/NEPAL AND NEPALI IMPLEMENTING PARTNERS WITH TECHNICAL, LOGISTICAL, AND ADVISORY SERVICES TO SUPPORT THE MISSIONÃ‚  S INCREASING LOCALIZATION PROGRAMMING. ENCOMPASS AND PARTNERS MERCY CORPS, FOUNDATION FOR DEVELOPMENT MANAGEMENT, TEAM CONSULT, AND OPEN DEVELOPMENT WILL COLLECTIVELY SUPPORT USAID/NEPAL IN DRAMATICALLY EXPANDING ITS LOCALIZATION PROGRAMMING BY STRENGTHENING THE CAPACITY OF LOCAL ORGANIZATIONS TO RECEIVE DIRECT USAID FUNDING; DEVELOP AND DELIVER EMPOWERING LEARNING EXPERIENCES; GROW DIVERSITY, EQUITY, INCLUSION, AND ACCESSIBILITY AND GENDER EQUALITY AND SOCIAL INCLUSION PRACTICES; SUPPORT THE MISSION TO IMPROVE LOCALIZATION PROGRAMMING; AND PROVIDE EXPERTISE IN PUBLIC FINANCIAL MANAGEMENT, RISK ASSESSMENT, AND TO INCREASE GOVERNMENT-TO-GOVERNMENT PROGRAMMING.",contracts_sub,7/24/2024,7/24/2024,0,Single Action,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium ($100K - $1M),1,2
MSA-24-10036-TEAM CONSULT-01,TEAM CONSULT COMPANY PVT. LTD.,Agency for International Development (USAID),"$121,694.90 ",9/12/2024,"THE PRIMARY PURPOSE OF THE USAID LOCALIZATION SUPPORT CONTRACT IS TO PROVIDE USAID/NEPAL AND NEPALI IMPLEMENTING PARTNERS WITH TECHNICAL, LOGISTICAL, AND ADVISORY SERVICES TO SUPPORT THE MISSIONÃ‚  S INCREASING LOCALIZATION PROGRAMMING. ENCOMPASS AND PARTNERS MERCY CORPS, FOUNDATION FOR DEVELOPMENT MANAGEMENT, TEAM CONSULT, AND OPEN DEVELOPMENT WILL COLLECTIVELY SUPPORT USAID/NEPAL IN DRAMATICALLY EXPANDING ITS LOCALIZATION PROGRAMMING BY STRENGTHENING THE CAPACITY OF LOCAL ORGANIZATIONS TO RECEIVE DIRECT USAID FUNDING; DEVELOP AND DELIVER EMPOWERING LEARNING EXPERIENCES; GROW DIVERSITY, EQUITY, INCLUSION, AND ACCESSIBILITY AND GENDER EQUALITY AND SOCIAL INCLUSION PRACTICES; SUPPORT THE MISSION TO IMPROVE LOCALIZATION PROGRAMMING; AND PROVIDE EXPERTISE IN PUBLIC FINANCIAL MANAGEMENT, RISK ASSESSMENT, AND TO INCREASE GOVERNMENT-TO-GOVERNMENT PROGRAMMING.",contracts_sub,9/12/2024,10/7/2024,25,Short Term (< 3 months),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium ($100K - $1M),1,2
